ANO,BIMESTRE,COD_MUNICIPIO,NOME_MUNICIPIO,CD_ORGAO,NOME_ORGAO,CD_ORGAO_ORCAMENTARIO,NOME_ORGAO_ORCAMENTARIO,CD_UNIDADE_ORCAMENTARIA,NOME_UNIDADE,TP_UNIDADE,CD_FUNCAO,DS_FUNCAO,CD_SUBFUNCAO,DS_SUBFUNCAO,CD_PROGRAMA,DS_PROGRAMA,CD_PROJETO,NM_PROJETO,CD_ELEMENTO,CD_RECURSO,NM_RECURSO,VL_DOTACAO_INICIAL,VL_ATUALIZACAO_MONETARIA,VL_CREDITOS_SUPLEMENTARES,VL_CREDITOS_ESPECIAIS,VL_CREDITOS_EXTRAORDINARIOS,VL_REDUCAO_DOTACAO,VL_SUPLEMENTACAO_RECURSO,VL_REDUCAO_RECURSO,VL_EMPENHADO,VL_LIQUIDADO,VL_PAGO,VL_LIMITADO,VL_RECOMPOSICAO,VL_PREVISAO_EXECUCAO
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.1.90.09,1,Recurso Livre,444.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,441.24,441.24,441.24,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.1.90.11,1,Recurso Livre,155388.00,0.00,2770.38,0.00,0.00,2163.07,0.00,0.00,155576.93,155576.93,155576.93,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.1.90.16,1,Recurso Livre,4661.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4496.67,4496.67,4496.67,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.14,1,Recurso Livre,35000.00,0.00,1800.00,0.00,0.00,0.00,0.00,0.00,36102.50,36102.50,36102.50,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.30,1,Recurso Livre,13000.00,0.00,3502.50,0.00,0.00,900.00,0.00,0.00,13785.86,13785.86,13785.86,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.33,1,Recurso Livre,4500.00,0.00,750.00,0.00,0.00,2607.31,0.00,0.00,2199.16,2199.16,2199.16,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.35,1,Recurso Livre,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000.00,8000.00,8000.00,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.39,1,Recurso Livre,28200.00,0.00,5600.00,0.00,0.00,3500.00,0.00,0.00,24351.34,24351.34,24351.34,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),4.4.90.51,1,Recurso Livre,1000.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),4.4.90.52,1,Recurso Livre,5000.00,0.00,1300.00,0.00,0.00,4000.00,0.00,0.00,2180.00,2180.00,2180.00,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2002,DIVULGACAO OFICIAL ( META 01.03),3.3.90.39,1,Recurso Livre,10000.00,0.00,1932.50,0.00,0.00,0.00,0.00,0.00,11932.50,11932.50,11932.50,0.00,0.00,0.00
2006,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,12,DIVULGACAO OFICIAL E INSTITUCIONAL,2004,DIVULGACAO DOS ATOS OFICIAIS ( META 02.02),3.3.90.39,1,Recurso Livre,5000.00,0.00,0.00,0.00,0.00,2000.00,0.00,0.00,2807.00,2807.00,2807.00,0.00,0.00,0.00
