ANO,BIMESTRE,COD_MUNICIPIO,NOME_MUNICIPIO,CD_ORGAO,NOME_ORGAO,CD_RECEBIMENTO,CD_ORGAO_ORCAMENTARIO,NOME_ORGAO_ORCAMENTARIO,CD_UNIDADE_ORCAMENTARIA,NOME_UNIDADE,TP_UNIDADE,CD_FUNCAO,DS_FUNCAO,CD_SUBFUNCAO,DS_SUBFUNCAO,CD_PROGRAMA,DS_PROGRAMA,CD_PROJETO,NM_PROJETO,CD_ELEMENTO,CD_RECURSO,NM_RECURSO,VL_DOTACAO_INICIAL,VL_ATUALIZACAO_MONETARIA,VL_CREDITOS_SUPLEMENTARES,VL_CREDITOS_ESPECIAIS,VL_CREDITOS_EXTRAORDINARIOS,VL_REDUCAO_DOTACAO,VL_SUPLEMENTACAO_RECURSO,VL_REDUCAO_RECURSO,VL_EMPENHADO,VL_LIQUIDADO,VL_PAGO,VL_LIMITADO,VL_RECOMPOSICAO,VL_PREVISAO_EXECUCAO
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,12,DIVULGACAO OFICIAL E INSTITUCIONAL,2005,DIVULGACAO DOS ATOS OFICIAIS (META 02.02),3.3.90.39,1,Recurso Livre,18000.00,0.00,0.00,0.00,0.00,36.70,0.00,0.00,10017.90,10017.90,10017.90,0.00,0.00,0.00
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,12,DIVULGACAO OFICIAL E INSTITUCIONAL,2014,DIVULGACAO DOS ATOS OFICIAIS (META 03.02),3.3.90.39,1,Recurso Livre,64000.00,0.00,0.00,0.00,0.00,5364.00,0.00,0.00,55891.85,51861.85,51861.85,0.00,0.00,0.00
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,5,SECRETARIA MUNICIPAL DE OBRAS  PUBLICAS HABITACAO E SANEAMENTO,1,DEPARTAMENTO MUNICIPAL DE ESTRADAS E RODAGEM,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,15,EDIFICACAO PUBLICA,2023,MANUTENCAO E REFORMAS DOS PREDIOS PUBLICOS ( META 05.02),3.3.90.30,1,Recurso Livre,45000.00,0.00,0.00,0.00,0.00,33260.27,0.00,0.00,6129.61,6129.61,6129.61,0.00,0.00,0.00
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,5,SECRETARIA MUNICIPAL DE OBRAS  PUBLICAS HABITACAO E SANEAMENTO,1,DEPARTAMENTO MUNICIPAL DE ESTRADAS E RODAGEM,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,15,EDIFICACAO PUBLICA,2023,MANUTENCAO E REFORMAS DOS PREDIOS PUBLICOS ( META 05.02),3.3.90.39,1,Recurso Livre,4000.00,0.00,0.00,0.00,0.00,2500.00,0.00,0.00,290.00,290.00,290.00,0.00,0.00,0.00
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,1002,AQUISICAO DE EQUIPAMENTO (META 02.05),4.4.90.52,1,Recurso Livre,3000.00,0.00,0.00,0.00,0.00,2603.00,0.00,0.00,397.00,397.00,397.00,0.00,0.00,0.00
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2006,MANUTENCAO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 e 02.02),3.1.90.05,1,Recurso Livre,3200.00,0.00,0.00,0.00,0.00,1256.40,0.00,0.00,943.05,943.05,943.05,0.00,0.00,0.00
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2006,MANUTENCAO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 e 02.02),3.1.90.11,1,Recurso Livre,350000.00,0.00,42000.00,0.00,0.00,20000.00,0.00,0.00,363241.58,363241.58,363241.58,0.00,0.00,0.00
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2006,MANUTENCAO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 e 02.02),3.3.90.14,1,Recurso Livre,16000.00,0.00,6000.00,0.00,0.00,1177.38,0.00,0.00,19468.50,19468.50,19468.50,0.00,0.00,0.00
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2006,MANUTENCAO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 e 02.02),3.3.90.30,1,Recurso Livre,22200.00,0.00,7177.38,0.00,0.00,1000.00,0.00,0.00,24139.19,21785.60,21785.60,0.00,0.00,0.00
2013,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,119912,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2006,MANUTENCAO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 e 02.02),3.3.90.33,1,Recurso Livre,6000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4391.53,4391.53,4391.53,0.00,0.00,0.00
