ANO,BIMESTRE,COD_MUNICIPIO,NOME_MUNICIPIO,CD_ORGAO,NOME_ORGAO,CD_ORGAO_ORCAMENTARIO,NOME_ORGAO_ORCAMENTARIO,CD_UNIDADE_ORCAMENTARIA,NOME_UNIDADE,TP_UNIDADE,CD_FUNCAO,DS_FUNCAO,CD_SUBFUNCAO,DS_SUBFUNCAO,CD_PROGRAMA,DS_PROGRAMA,CD_PROJETO,NM_PROJETO,CD_ELEMENTO,CD_RECURSO,NM_RECURSO,VL_DOTACAO_INICIAL,VL_ATUALIZACAO_MONETARIA,VL_CREDITOS_SUPLEMENTARES,VL_CREDITOS_ESPECIAIS,VL_CREDITOS_EXTRAORDINARIOS,VL_REDUCAO_DOTACAO,VL_SUPLEMENTACAO_RECURSO,VL_REDUCAO_RECURSO,VL_EMPENHADO,VL_LIQUIDADO,VL_PAGO,VL_LIMITADO,VL_RECOMPOSICAO,VL_PREVISAO_EXECUCAO,CD_RECEBIMENTO,MES
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,Manutencao das Atividades da Camara Municipal de Vereadores. ( META 01.01),3.1.90.11,1,Recurso Livre,151105.78,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,154367.32,154367.32,154367.32,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,Manutencao das Atividades da Camara Municipal de Vereadores. ( META 01.01),3.3.90.14,1,Recurso Livre,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28300.41,28300.41,28300.41,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,Manutencao das Atividades da Camara Municipal de Vereadores. ( META 01.01),3.3.90.30,1,Recurso Livre,8328.0,0.0,150.0,0.0,0.0,1000.0,0.0,0.0,2593.04,2593.04,2593.04,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,Manutencao das Atividades da Camara Municipal de Vereadores. ( META 01.01),3.3.90.37,1,Recurso Livre,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.26,756.26,756.26,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,Manutencao das Atividades da Camara Municipal de Vereadores. ( META 01.01),3.3.90.39,1,Recurso Livre,23788.0,0.0,6057.0,0.0,0.0,1300.0,0.0,0.0,23611.54,23611.54,23611.54,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2002,Divulgacao Oficial ( META 01.03),3.3.90.39,1,Recurso Livre,14040.0,0.0,0.0,0.0,0.0,7307.0,0.0,0.0,2706.0,2706.0,2706.0,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,12,DIVULGACAO OFICIAL E INSTITUCIONAL,2004,Divulgacao dos Atos Oficiais ( META 02.04),3.3.90.39,1,Recurso Livre,10000.0,0.0,0.0,0.0,0.0,7283.0,0.0,0.0,2717.0,2717.0,2717.0,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,12,DIVULGACAO OFICIAL E INSTITUCIONAL,2012,Divulgacao dos Atos Oficiais (META 03.04),3.3.90.39,1,Recurso Livre,24000.0,0.0,1876.75,0.0,0.0,2000.0,0.0,0.0,23824.75,23824.75,20744.75,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,5,SECRETARIA MUNICIPAL DE OBRAS  PUBLICAS HABITACAO E SANEAMENTO,1,DEPARTAMENTO MUNICIPAL DE ESTRADAS E RODAGEM,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,15,EDIFICACAO PUBLICA,2021,Manutencao e Reformas dos Predios Publicos ( META 05.01),3.3.90.30,1,Recurso Livre,14000.0,0.0,2139.32,0.0,0.0,0.0,0.0,0.0,16139.32,16139.32,16139.32,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,5,SECRETARIA MUNICIPAL DE OBRAS  PUBLICAS HABITACAO E SANEAMENTO,1,DEPARTAMENTO MUNICIPAL DE ESTRADAS E RODAGEM,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,15,EDIFICACAO PUBLICA,2021,Manutencao e Reformas dos Predios Publicos ( META 05.01),3.3.90.39,1,Recurso Livre,3500.0,0.0,0.0,0.0,0.0,427.32,0.0,0.0,2807.2,2807.2,2807.2,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2005,Manutencao das Atividades do Gabinete e Orgaos Interligados    (META 02.02),3.1.90.09,1,Recurso Livre,387.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.64,262.64,262.64,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2005,Manutencao das Atividades do Gabinete e Orgaos Interligados    (META 02.02),3.1.90.11,1,Recurso Livre,164476.05,0.0,7800.97,0.0,0.0,0.0,0.0,0.0,165695.28,165695.28,165695.28,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2005,Manutencao das Atividades do Gabinete e Orgaos Interligados    (META 02.02),3.3.90.14,1,Recurso Livre,9000.0,0.0,2444.25,0.0,0.0,0.0,0.0,0.0,11093.17,11093.17,11093.17,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2005,Manutencao das Atividades do Gabinete e Orgaos Interligados    (META 02.02),3.3.90.30,1,Recurso Livre,20300.0,0.0,4302.24,0.0,0.0,2300.0,0.0,0.0,20092.62,20092.62,20092.62,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2005,Manutencao das Atividades do Gabinete e Orgaos Interligados    (META 02.02),3.3.90.39,1,Recurso Livre,16610.0,0.0,8783.3,0.0,0.0,6166.0,0.0,0.0,18765.5,18765.5,18765.5,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2006,Recepcao a Autoridades (META 02.06),3.3.90.39,1,Recurso Livre,2000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,584.0,584.0,584.0,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2007,Manutencao do Conselho de Representacao Popular (META 02.08),3.3.90.14,1,Recurso Livre,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.13,125.13,125.13,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2007,Manutencao do Conselho de Representacao Popular (META 02.08),3.3.90.30,1,Recurso Livre,250.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,2,GABINETE DO PREFEITO,1,GABINETE DO PREFEITO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2007,Manutencao do Conselho de Representacao Popular (META 02.08),3.3.90.39,1,Recurso Livre,1550.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2013,Manut. das Atividades da Secretaria e Orgaos Subordinados. ( META 03.01 e 03.08),3.1.90.09,1,Recurso Livre,3715.44,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,4628.23,4628.23,4628.23,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2013,Manut. das Atividades da Secretaria e Orgaos Subordinados. ( META 03.01 e 03.08),3.1.90.11,1,Recurso Livre,154254.56,0.0,28000.0,0.0,0.0,20831.12,0.0,0.0,159572.45,159572.45,159572.45,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2013,Manut. das Atividades da Secretaria e Orgaos Subordinados. ( META 03.01 e 03.08),3.3.90.14,1,Recurso Livre,1800.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,3146.33,3146.33,3146.33,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2013,Manut. das Atividades da Secretaria e Orgaos Subordinados. ( META 03.01 e 03.08),3.3.90.30,1,Recurso Livre,16010.0,0.0,500.0,0.0,0.0,10330.1,0.0,0.0,5335.62,5335.62,5259.62,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2013,Manut. das Atividades da Secretaria e Orgaos Subordinados. ( META 03.01 e 03.08),3.3.90.36,1,Recurso Livre,1000.0,0.0,480.0,0.0,0.0,500.0,0.0,0.0,980.0,980.0,900.0,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2013,Manut. das Atividades da Secretaria e Orgaos Subordinados. ( META 03.01 e 03.08),3.3.90.38,1,Recurso Livre,11000.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2013,Manut. das Atividades da Secretaria e Orgaos Subordinados. ( META 03.01 e 03.08),3.3.90.39,1,Recurso Livre,24285.0,0.0,10980.1,0.0,0.0,9313.0,0.0,0.0,22391.2,22391.2,21082.06,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2013,Manut. das Atividades da Secretaria e Orgaos Subordinados. ( META 03.01 e 03.08),4.4.90.52,1,Recurso Livre,5000.0,0.0,1650.0,0.0,0.0,277.2,0.0,0.0,6372.8,6372.8,6372.8,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2014,Manutencao das Assessorias e Consultorias ( META 03.14),3.3.90.35,1,Recurso Livre,9636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9384.0,9384.0,5474.0,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2014,Manutencao das Assessorias e Consultorias ( META 03.14),3.3.90.39,1,Recurso Livre,33000.0,0.0,1238.0,0.0,0.0,500.0,0.0,0.0,33738.0,33738.0,33738.0,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,3,SECRETARIA MUNICIPAL DA ADMINISTRACAO,1,SECRETARIA  MUNICIPAL DE ADMINISTRACAO,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2015,Contribuicao para PASEP ( META 03.15),3.1.90.47,1,Recurso Livre,57279.78,0.0,200.85,0.0,0.0,0.0,0.0,0.0,57480.63,57480.63,50751.8,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,4,SECRETARIA MUNICIPAL DA FAZENDA,1,SECRETARIA MUNICIPAL  DA FAZENDA,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2017,Manutencao da Tributacao.( META 04.09),3.1.90.09,1,Recurso Livre,2778.24,0.0,241.09,0.0,0.0,0.0,0.0,0.0,3019.33,3019.33,3019.33,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,4,SECRETARIA MUNICIPAL DA FAZENDA,1,SECRETARIA MUNICIPAL  DA FAZENDA,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2017,Manutencao da Tributacao.( META 04.09),3.1.90.11,1,Recurso Livre,100036.66,0.0,15600.0,0.0,0.0,0.0,0.0,0.0,104736.95,104736.95,104736.95,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,4,SECRETARIA MUNICIPAL DA FAZENDA,1,SECRETARIA MUNICIPAL  DA FAZENDA,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2017,Manutencao da Tributacao.( META 04.09),3.3.90.14,1,Recurso Livre,1500.0,0.0,312.5,0.0,0.0,0.0,0.0,0.0,1806.58,1806.58,1806.58,0.0,0.0,0.0,,
2004,6.0,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,4,SECRETARIA MUNICIPAL DA FAZENDA,1,SECRETARIA MUNICIPAL  DA FAZENDA,PRM,4,ADMINISTRACAO,122,ADMINISTRACAO GERAL,16,ADMINISTRACAO GOVERNAMENTAL,2017,Manutencao da Tributacao.( META 04.09),3.3.90.30,1,Recurso Livre,12210.0,0.0,0.0,0.0,0.0,5641.15,0.0,0.0,6001.68,6001.68,6001.68,0.0,0.0,0.0,,
